Date,Open,High,Low,Close,Adj Close,Volume
2020-06-17,5.300000,5.360000,5.090000,5.100000,5.100000,3608100
2020-06-18,5.080000,5.140000,5.010000,5.080000,5.080000,3764900
2020-06-19,5.140000,5.160000,4.950000,5.060000,5.060000,8341700
2020-06-22,5.130000,5.240000,5.080000,5.120000,5.120000,5146700
2020-06-23,5.180000,5.240000,5.080000,5.100000,5.100000,4459700
2020-06-24,5.080000,5.080000,4.850000,4.920000,4.920000,7844400
2020-06-25,4.630000,4.890000,4.610000,4.850000,4.850000,7956500
2020-06-26,4.860000,4.920000,4.720000,4.720000,4.720000,4769200
2020-06-29,4.760000,4.840000,4.640000,4.800000,4.800000,4448700
2020-06-30,4.780000,4.900000,4.740000,4.890000,4.890000,4433200
2020-07-01,4.850000,4.850000,4.730000,4.780000,4.780000,3522800
2020-07-02,4.790000,4.950000,4.770000,4.850000,4.850000,6370600
2020-07-06,4.930000,5.080000,4.920000,5.020000,5.020000,4578900
2020-07-07,4.990000,5.000000,4.790000,4.800000,4.800000,2831900
2020-07-08,4.800000,4.870000,4.740000,4.840000,4.840000,2486600
2020-07-09,4.850000,4.870000,4.690000,4.810000,4.810000,2714800
2020-07-10,4.770000,4.810000,4.700000,4.730000,4.730000,2852000
2020-07-13,4.750000,4.790000,4.560000,4.580000,4.580000,3526900
2020-07-14,4.550000,4.610000,4.450000,4.580000,4.580000,3662800
2020-07-15,4.650000,4.730000,4.610000,4.710000,4.710000,3575500
2020-07-16,4.650000,4.680000,4.570000,4.650000,4.650000,2076300
2020-07-17,4.630000,4.850000,4.630000,4.800000,4.800000,2771600
2020-07-20,4.820000,5.030000,4.820000,4.990000,4.990000,3248600
2020-07-21,5.050000,5.060000,4.840000,4.850000,4.850000,3336900
2020-07-22,4.800000,4.900000,4.770000,4.790000,4.790000,2395500
2020-07-23,4.770000,4.850000,4.710000,4.740000,4.740000,3280500
2020-07-24,4.680000,4.700000,4.600000,4.650000,4.650000,3103700
2020-07-27,4.650000,4.700000,4.560000,4.690000,4.690000,2975600
2020-07-28,4.700000,4.740000,4.620000,4.660000,4.660000,2635000
2020-07-29,4.730000,4.910000,4.680000,4.870000,4.870000,3937200
2020-07-30,4.770000,4.830000,4.680000,4.740000,4.740000,3197500
2020-07-31,4.750000,4.780000,4.650000,4.740000,4.740000,2154800
2020-08-03,4.730000,4.750000,4.670000,4.740000,4.740000,1905700
2020-08-04,4.700000,4.760000,4.660000,4.750000,4.750000,3146700
2020-08-05,4.780000,4.860000,4.750000,4.840000,4.840000,2314000
2020-08-06,4.830000,5.070000,4.760000,4.960000,4.960000,5436300
2020-08-07,4.970000,5.160000,4.810000,4.840000,4.840000,5364600
2020-08-10,4.870000,4.930000,4.770000,4.840000,4.840000,2386700
2020-08-11,4.860000,4.900000,4.760000,4.790000,4.790000,3279900
2020-08-12,4.790000,4.890000,4.790000,4.820000,4.820000,1893900
2020-08-13,4.810000,4.950000,4.810000,4.890000,4.890000,2495600
2020-08-14,4.880000,4.900000,4.750000,4.800000,4.800000,2574800
2020-08-17,4.790000,4.850000,4.770000,4.810000,4.810000,1842300
2020-08-18,4.810000,4.860000,4.740000,4.790000,4.790000,2432900
2020-08-19,4.840000,4.870000,4.750000,4.780000,4.780000,2641700
2020-08-20,4.740000,4.850000,4.720000,4.830000,4.830000,2103300
2020-08-21,4.800000,4.840000,4.730000,4.750000,4.750000,2038200
2020-08-24,4.800000,4.840000,4.740000,4.790000,4.790000,2528200
2020-08-25,4.800000,4.880000,4.770000,4.780000,4.780000,2470300
2020-08-26,4.830000,5.210000,4.800000,5.080000,5.080000,7741000
2020-08-27,5.120000,5.170000,4.970000,5.030000,5.030000,3544300
2020-08-28,5.130000,5.300000,5.100000,5.230000,5.230000,3993900
